name,url,salary,id
Программист / Инженер данных (Data Engineer),https://hh.ru/vacancy/78398673,,78398673
QA Fullstack (ручное+Python),https://hh.ru/vacancy/78904801,,78904801
Senior Python разработчик,https://hh.ru/vacancy/78552487,,78552487
Data scientist (math modeling),https://hh.ru/vacancy/78507209,4000,78507209
Senior Python (Django) разработчик,https://hh.ru/vacancy/74343712,,74343712
Руководитель разработки (ТехЛид) Python/Django,https://hh.ru/vacancy/73076249,,73076249
Спикер онлайн курсов по программированию,https://hh.ru/vacancy/78882886,30000,78882886
Ведущий программист / разработчик Linux,https://hh.ru/vacancy/77980778,300000,77980778
Middle-backend Python разработчик,https://hh.ru/vacancy/78735525,,78735525
Python разработчик (Middle),https://hh.ru/vacancy/78622979,140000,78622979
Senior Python developer (SberLB),https://hh.ru/vacancy/77296899,,77296899
Разработчик Python (Middle+),https://hh.ru/vacancy/78744603,,78744603
Data Scientist (middle/senior),https://hh.ru/vacancy/70163749,,70163749
Python разработчик,https://hh.ru/vacancy/78405077,80000,78405077
Веб-аналитик / Аналитик BI,https://hh.ru/vacancy/78398423,,78398423
ETL Developer,https://hh.ru/vacancy/78190178,,78190178
Разработчик Python (c Jupyter Hub\lab),https://hh.ru/vacancy/78751152,,78751152
"Junior, DL, Speech",https://hh.ru/vacancy/78459616,50000,78459616
Data Scientist,https://hh.ru/vacancy/78706463,,78706463
Python разработчик / DevOps инженер,https://hh.ru/vacancy/76347722,150000,76347722
Python разработчик,https://hh.ru/vacancy/77894522,250000,77894522
"Проверяющий преподаватель на курс ""Python-фреймворк Django""",https://hh.ru/vacancy/78147422,,78147422
Middle backend-разработчик Python,https://hh.ru/vacancy/76140465,,76140465
Middle/Senior Python Developer,https://hh.ru/vacancy/77497386,140000,77497386
Инженер внедрения стека DevSecOps,https://hh.ru/vacancy/71934284,,71934284
Python-разработчик,https://hh.ru/vacancy/70899389,,70899389
Разработчик Python,https://hh.ru/vacancy/78031980,150000,78031980
Python разработчик,https://hh.ru/vacancy/78391037,,78391037
Python Developer,https://hh.ru/vacancy/78303731,,78303731
Программист Python,https://hh.ru/vacancy/78431345,100000,78431345
Разработчик Python,https://hh.ru/vacancy/78144027,250000,78144027
Python-разработчик в инфраструктурную группу,https://hh.ru/vacancy/76417694,,76417694
Программист Python (Middle-Senior),https://hh.ru/vacancy/78559942,140000,78559942
Python разработчик (удаленно),https://hh.ru/vacancy/78130411,230000,78130411
"Аналитик SQL,Python",https://hh.ru/vacancy/78261402,,78261402
Python Backend Developer (Junior/Remote),https://hh.ru/vacancy/78083627,,78083627
Разработчик на Python в команду AI Driving Data,https://hh.ru/vacancy/77562875,,77562875
Программист R&D (нейронные сети),https://hh.ru/vacancy/78674588,160000,78674588
Бэкенд-разработчик (Python),https://hh.ru/vacancy/78032101,150000,78032101
Разработчик Python,https://hh.ru/vacancy/78640955,,78640955
Программист,https://hh.ru/vacancy/78534532,200000,78534532
Разработчик системы понимания естественных языков | NLP-developer,https://hh.ru/vacancy/78563822,180000,78563822
Инженер-программист (Python),https://hh.ru/vacancy/78358922,,78358922
Senior Python developer,https://hh.ru/vacancy/78406784,,78406784
Middle Python Developer,https://hh.ru/vacancy/78666164,150000,78666164
Senior Python Developer,https://hh.ru/vacancy/68492110,250000,68492110
Middle+ Go Developer,https://hh.ru/vacancy/78154384,,78154384
Разработчик курса/методист/преподаватель по Data Science,https://hh.ru/vacancy/77577192,,77577192
Middle python developer,https://hh.ru/vacancy/77996426,150000,77996426
Python разработчик,https://hh.ru/vacancy/78422537,,78422537
Senior Python разработчик (Intelligent Document Processing),https://hh.ru/vacancy/77016383,200000,77016383
Python Django Developer (Middle +),https://hh.ru/vacancy/78401921,150000,78401921
Junior Data Scientist,https://hh.ru/vacancy/78155277,,78155277
Программист Python,https://hh.ru/vacancy/78417894,,78417894
Python разработчик (SmartVoice),https://hh.ru/vacancy/76294359,,76294359
Python разработчик,https://hh.ru/vacancy/78198025,200000,78198025
"Python developer, удаленно",https://hh.ru/vacancy/78095731,130000,78095731
Разработчик Python,https://hh.ru/vacancy/76934078,,76934078
Senior\Middle Data Scientist (Big Data),https://hh.ru/vacancy/77567000,250000,77567000
Программист Python,https://hh.ru/vacancy/77997437,,77997437
Python разработчик,https://hh.ru/vacancy/68077706,,68077706
Разработчик службы мониторинга (стажер),https://hh.ru/vacancy/78567709,,78567709
Старший инженер-программист (Python)/Senior Python developer,https://hh.ru/vacancy/76604020,,76604020
Senior Python-разработчик в Цифровые поверхности Салют (направление B2B2C),https://hh.ru/vacancy/77016351,200000,77016351
"Backend-разработчик (Python, Django)",https://hh.ru/vacancy/78530777,150000,78530777
Data Scientist,https://hh.ru/vacancy/78260367,250000,78260367
Программист Python/С++,https://hh.ru/vacancy/77208048,,77208048
"Разработчик Python, развитие рекламной платформы",https://hh.ru/vacancy/78361098,,78361098
Стажер (аналитика кибербезопасности),https://hh.ru/vacancy/78261710,,78261710
Python разработчик (AI проект),https://hh.ru/vacancy/77992483,2500,77992483
Разработчик Python,https://hh.ru/vacancy/78499901,,78499901
Python-разработчик (Цифровой ассистент),https://hh.ru/vacancy/78097137,,78097137
Junior CV engineer,https://hh.ru/vacancy/77474706,,77474706
Python-Developer Middle+,https://hh.ru/vacancy/78233165,120000,78233165
Backend разработчик (Python),https://hh.ru/vacancy/77958176,,77958176
Python-разработчик (Middle+) в проект по искусственному интеллекту,https://hh.ru/vacancy/78403516,80000,78403516
Python-разработчик (Senior),https://hh.ru/vacancy/77331406,240000,77331406
Python Developer,https://hh.ru/vacancy/78344010,,78344010
Инженер-разработчик по финансовым системам (Python),https://hh.ru/vacancy/78703106,,78703106
Data Scientist,https://hh.ru/vacancy/78259023,200000,78259023
Разработчик Python (ALD),https://hh.ru/vacancy/70052938,,70052938
Python Senior Developer (SberData),https://hh.ru/vacancy/78759114,,78759114
Data Scientist,https://hh.ru/vacancy/78014671,250000,78014671
Стажер Sber AI Lab,https://hh.ru/vacancy/78097813,,78097813
Программист-математик (python),https://hh.ru/vacancy/78157047,,78157047
Разработчик Python,https://hh.ru/vacancy/78105622,,78105622
Python-разработчик,https://hh.ru/vacancy/78107042,100000,78107042
